time,gFx,gFy,gFz,TgF
0.320422,0.0026,0.4034,0.9697,1.050
0.322961,-0.0074,0.4037,0.9592,1.041
0.325421,-0.0089,0.4119,0.9560,1.041
0.327891,-0.0098,0.4088,0.9546,1.038
0.330617,-0.0255,0.4139,0.9580,1.044
0.332883,-0.0174,0.4142,0.9539,1.040
0.335423,-0.0250,0.4130,0.9548,1.041
0.338459,-0.0240,0.4110,0.9567,1.042
0.340454,-0.0365,0.4132,0.9558,1.042
0.342938,-0.0323,0.4107,0.9531,1.038
0.345441,-0.0218,0.4083,0.9509,1.035
0.347958,-0.0167,0.4083,0.9462,1.031
0.350393,-0.0152,0.4110,0.9350,1.021
0.352867,-0.0159,0.4139,0.9262,1.015
0.357052,-0.0101,0.3993,0.9233,1.006
0.358008,-0.0057,0.4042,0.9079,0.994
0.360538,0.0008,0.4068,0.9066,0.994
0.363103,-0.0026,0.4068,0.9122,0.999
0.365546,-0.0010,0.3978,0.8954,0.980
0.368049,-0.0005,0.4044,0.8837,0.972
0.370467,-0.0026,0.4002,0.8761,0.963
0.373074,-0.0013,0.3956,0.8812,0.966
0.375587,-0.0015,0.3949,0.8796,0.964
0.377939,-0.0074,0.3990,0.8607,0.949
0.380711,-0.0218,0.3983,0.8549,0.943
0.382909,-0.0294,0.3921,0.8686,0.953
0.385410,-0.0385,0.4032,0.8581,0.949
0.389187,-0.0453,0.3978,0.8558,0.945
0.390782,-0.0506,0.4068,0.8695,0.961
0.392995,-0.0678,0.4024,0.8583,0.950
0.395532,-0.0676,0.4083,0.8649,0.959
0.398019,-0.0868,0.4149,0.8627,0.961
0.400471,-0.0898,0.4105,0.8558,0.953
0.402916,-0.0919,0.4271,0.8534,0.959
0.405549,-0.1024,0.4333,0.8590,0.968
0.408110,-0.1024,0.4293,0.8607,0.967
0.410544,-0.1035,0.4349,0.8561,0.966
0.413084,-0.1108,0.4396,0.8586,0.971
0.415592,-0.1037,0.4426,0.8612,0.974
0.418027,-0.1019,0.4340,0.8600,0.969
0.420543,-0.0927,0.4382,0.8544,0.965
0.423164,-0.0868,0.4347,0.8607,0.968
0.425551,-0.0832,0.4271,0.8588,0.963
0.428007,-0.0685,0.4220,0.8581,0.959
0.430466,-0.0790,0.4093,0.8646,0.960
0.433026,-0.0658,0.4081,0.8695,0.963
0.435549,-0.0692,0.4103,0.8703,0.965
0.438443,-0.0548,0.3956,0.8773,0.964
0.440659,-0.0472,0.3934,0.8815,0.966
0.443117,-0.0380,0.3821,0.9003,0.979
0.445618,-0.0252,0.3790,0.9206,0.996
0.448035,-0.0145,0.3807,0.9187,0.995
0.450436,-0.0143,0.3674,0.9301,1.000
0.452985,-0.0257,0.3592,0.9404,1.007
0.456273,-0.0299,0.3578,0.9507,1.016
0.458349,-0.0152,0.3531,0.9576,1.021
0.460516,0.0045,0.3543,0.9644,1.027
0.463103,0.0120,0.3474,0.9727,1.033
0.465521,0.0180,0.3364,0.9705,1.027
0.468047,0.0308,0.3355,0.9802,1.036
0.470717,0.0355,0.3220,0.9832,1.035
0.473130,0.0453,0.3306,0.9900,1.045
0.475622,0.0333,0.3196,0.9842,1.035
0.478038,0.0380,0.3323,0.9821,1.038
0.480580,0.0372,0.3262,0.9883,1.041
0.483040,0.0318,0.3340,0.9795,1.035
0.485492,0.0301,0.3345,0.9758,1.032
0.488437,0.0401,0.3359,0.9700,1.027
0.490828,0.0192,0.3347,0.9478,1.005
0.493059,0.0155,0.3215,0.9458,0.999
0.495574,0.0287,0.3208,0.9436,0.997
0.498005,0.0355,0.3184,0.9329,0.986
0.500745,0.0472,0.3138,0.9285,0.981
0.503056,0.0497,0.3061,0.9215,0.972
0.505610,0.0523,0.2942,0.9111,0.959
0.508128,0.0651,0.2842,0.9118,0.957
0.510614,0.0700,0.2773,0.8996,0.944
0.513128,0.0851,0.2761,0.9054,0.950
0.515710,0.0984,0.2637,0.9057,0.948
0.518094,0.0963,0.2668,0.9066,0.950
0.520621,0.1110,0.2548,0.9096,0.951
0.523378,0.1112,0.2534,0.9145,0.955
0.525641,0.0984,0.2416,0.9226,0.959
0.528207,0.0963,0.2313,0.9206,0.954
0.530696,0.0812,0.2306,0.9255,0.957
0.533117,0.0627,0.2323,0.9357,0.966
0.535726,0.0563,0.2233,0.9378,0.966
0.539929,0.0416,0.2250,0.9539,0.981
0.540783,0.0255,0.2313,0.9565,0.984
0.543329,0.0052,0.2218,0.9709,0.996
0.545669,-0.0052,0.2306,0.9846,1.011
0.548446,-0.0248,0.2421,0.9895,1.019
0.550705,-0.0450,0.2474,0.9922,1.024
0.553166,-0.0548,0.2455,1.0019,1.033
0.556033,-0.0585,0.2504,0.9783,1.011
0.558406,-0.0700,0.2541,0.9814,1.016
0.560790,-0.0676,0.2651,0.9744,1.012
0.563310,-0.0768,0.2619,0.9604,0.998
0.565688,-0.0737,0.2685,0.9478,0.988
0.568185,-0.0776,0.2683,0.9516,0.992
0.570725,-0.0851,0.2773,0.9228,0.967
0.573234,-0.0776,0.2832,0.9120,0.958
0.575685,-0.0763,0.2835,0.8996,0.946
0.578183,-0.0719,0.2790,0.8893,0.935
0.581064,-0.0868,0.2849,0.8989,0.947
0.583237,-0.0902,0.2768,0.8788,0.926
0.585718,-0.0721,0.2849,0.8844,0.932
0.589008,-0.0578,0.2907,0.8784,0.927
0.590769,-0.0345,0.2870,0.8820,0.928
0.593227,-0.0098,0.2942,0.8759,0.924
0.595921,0.0020,0.2991,0.8766,0.926
0.598168,0.0318,0.3015,0.8828,0.933
0.600590,0.0541,0.3161,0.8744,0.931
0.603966,0.0678,0.3213,0.8756,0.935
0.605681,0.0888,0.3186,0.8798,0.940
0.608198,0.1019,0.3271,0.8822,0.946
0.610701,0.1007,0.3238,0.8759,0.939
0.613123,0.1064,0.3264,0.8817,0.946
0.615811,0.1042,0.3164,0.8691,0.931
0.618262,0.0995,0.3201,0.8822,0.944
0.620720,0.0942,0.3191,0.8642,0.926
0.623318,0.0776,0.3071,0.8673,0.923
0.625693,0.0707,0.3047,0.8593,0.914
0.628147,0.0592,0.3015,0.8493,0.903
0.630922,0.0333,0.2928,0.8578,0.907
0.634019,0.0147,0.2924,0.8451,0.894
0.635888,-0.0113,0.2888,0.8432,0.891
0.639093,-0.0401,0.2851,0.8378,0.886
0.640717,-0.0616,0.2827,0.8376,0.886
0.643252,-0.1007,0.2870,0.8351,0.889
0.646789,-0.1173,0.2876,0.8241,0.881
0.648280,-0.1289,0.2966,0.8287,0.890
0.650733,-0.1367,0.2928,0.8123,0.874
0.653190,-0.1687,0.2979,0.8169,0.886
0.655825,-0.1858,0.3101,0.8069,0.884
0.658221,-0.2009,0.3089,0.8113,0.891
0.660794,-0.2034,0.3154,0.8260,0.907
0.663374,-0.2163,0.3152,0.8321,0.916
0.665925,-0.2271,0.3250,0.8383,0.927
0.668527,-0.2333,0.3233,0.8370,0.927
0.670767,-0.2430,0.3328,0.8656,0.959
0.673249,-0.2457,0.3196,0.8651,0.954
0.676027,-0.2657,0.3198,0.8693,0.964
0.678923,-0.2684,0.3133,0.8788,0.971
0.680789,-0.2867,0.3061,0.9028,0.995
0.683284,-0.3032,0.2942,0.8959,0.991
0.685789,-0.3185,0.2912,0.9245,1.020
0.688768,-0.3230,0.2719,0.9320,1.023
0.691107,-0.3354,0.2644,0.9514,1.043
0.693351,-0.3517,0.2546,1.0007,1.091
0.695877,-0.3508,0.2474,1.0238,1.110
0.698363,-0.3571,0.2431,1.0699,1.154
0.700783,-0.3522,0.2548,1.0921,1.175
0.703344,-0.3342,0.2487,1.1330,1.207
0.705865,-0.3273,0.2514,1.1594,1.231
0.708453,-0.3188,0.2507,1.1836,1.251
0.710804,-0.3023,0.2492,1.2046,1.267
0.713286,-0.2890,0.2490,1.2053,1.264
0.715813,-0.2741,0.2529,1.2141,1.270
0.718238,-0.2647,0.2602,1.2195,1.275
0.720854,-0.2445,0.2639,1.2134,1.266
0.723357,-0.2379,0.2685,1.2263,1.278
0.725783,-0.2163,0.2707,1.2381,1.286
0.728335,-0.1978,0.2678,1.2703,1.313
0.730910,-0.1846,0.2656,1.2945,1.334
0.733253,-0.1646,0.2790,1.3009,1.341
0.736116,-0.1643,0.2739,1.3031,1.342
0.738846,-0.1420,0.2637,1.3041,1.338
0.740879,-0.1391,0.2614,1.2862,1.320
0.743342,-0.1338,0.2567,1.2916,1.324
0.745787,-0.1161,0.2467,1.2774,1.306
0.748435,-0.1096,0.2316,1.2782,1.304
0.750874,-0.1066,0.2313,1.2738,1.299
0.753294,-0.0954,0.2182,1.2689,1.291
0.755922,-0.0973,0.2055,1.2750,1.295
0.758545,-0.0998,0.2059,1.2652,1.286
0.760815,-0.1028,0.1917,1.2661,1.285
0.763770,-0.1017,0.1910,1.2743,1.293
0.765836,-0.1137,0.1866,1.2769,1.296
0.768248,-0.1110,0.1849,1.2628,1.281
0.770762,-0.1189,0.1835,1.2649,1.284
0.773341,-0.1173,0.1830,1.2488,1.268
0.775892,-0.1149,0.1940,1.2461,1.266
0.778270,-0.1213,0.1922,1.2342,1.255
0.780798,-0.1030,0.2040,1.2176,1.239
0.783332,-0.1093,0.1962,1.1985,1.219
0.785782,-0.1056,0.2001,1.1750,1.197
0.788785,-0.1000,0.2136,1.1531,1.177
0.790963,-0.0954,0.2131,1.1330,1.157
0.793328,-0.0995,0.2120,1.1130,1.137
0.795875,-0.1137,0.2164,1.0919,1.119
