time,gFx,gFy,gFz,TgF
0.295325,-0.0688,0.3371,0.9487,1.009
0.296693,-0.0558,0.3401,0.9681,1.028
0.299351,-0.0570,0.3350,0.9421,1.002
0.301619,-0.0504,0.3441,0.9555,1.017
0.304195,-0.0644,0.3303,0.9490,1.007
0.307051,-0.0551,0.3371,0.9434,1.003
0.310421,-0.0551,0.3545,0.9492,1.015
0.311563,-0.0590,0.3536,0.9348,1.001
0.314350,-0.0602,0.3452,0.9499,1.012
0.316716,-0.0607,0.3469,0.9523,1.015
0.319169,-0.0621,0.3384,0.9480,1.008
0.321482,-0.0602,0.3401,0.9472,1.008
0.325635,-0.0632,0.3345,0.9523,1.011
0.326663,-0.0587,0.3460,0.9539,1.016
0.329551,-0.0585,0.3460,0.9565,1.019
0.331790,-0.0604,0.3418,0.9394,1.001
0.334071,-0.0490,0.3497,0.9443,1.008
0.336896,-0.0487,0.3464,0.9487,1.011
0.339436,-0.0614,0.3416,0.9472,1.009
0.343423,-0.0604,0.3455,0.9470,1.010
0.344620,-0.0521,0.3426,0.9548,1.016
0.346828,-0.0506,0.3387,0.9462,1.006
0.349501,-0.0641,0.3462,0.9472,1.011
0.351919,-0.0604,0.3460,0.9509,1.014
0.354011,-0.0616,0.3501,0.9397,1.005
0.360237,-0.0644,0.3482,0.9362,1.001
0.360851,-0.0567,0.3438,0.9516,1.013
0.361693,-0.0668,0.3467,0.9516,1.015
0.364263,-0.0704,0.3455,0.9483,1.012
0.367083,-0.0570,0.3429,0.9343,0.997
0.369280,-0.0692,0.3477,0.9462,1.010
0.371774,-0.0660,0.3472,0.9443,1.008
0.375272,-0.0641,0.3497,0.9385,1.004
0.376577,-0.0597,0.3452,0.9402,1.003
0.379141,-0.0616,0.3423,0.9455,1.007
0.381589,-0.0668,0.3371,0.9392,1.000
0.384095,-0.0595,0.3364,0.9413,1.001
0.386612,-0.0681,0.3423,0.9390,1.002
0.389058,-0.0688,0.3509,0.9357,1.002
0.391613,-0.0665,0.3438,0.9385,1.002
0.394064,-0.0729,0.3394,0.9394,1.001
0.396533,-0.0636,0.3315,0.9329,0.992
0.399081,-0.0672,0.3433,0.9318,0.995
0.401650,-0.0676,0.3382,0.9277,0.990
0.403873,-0.0700,0.3396,0.9262,0.989
0.408393,-0.0619,0.3331,0.9211,0.981
0.408936,-0.0753,0.3338,0.9257,0.987
0.411968,-0.0670,0.3374,0.9131,0.976
0.414145,-0.0646,0.3408,0.9147,0.978
0.416565,-0.0685,0.3326,0.9177,0.978
0.419255,-0.0651,0.3320,0.9159,0.976
0.421492,-0.0629,0.3338,0.9108,0.972
0.425010,-0.0546,0.3352,0.9015,0.963
0.426900,-0.0629,0.3326,0.9079,0.969
0.429254,-0.0665,0.3352,0.9094,0.971
0.432438,-0.0751,0.3369,0.9140,0.977
0.434681,-0.0768,0.3384,0.9111,0.975
0.436873,-0.0644,0.3369,0.8982,0.961
0.439126,-0.0716,0.3336,0.9026,0.965
0.441783,-0.0614,0.3371,0.9245,0.986
0.444658,-0.0744,0.3399,0.9150,0.979
0.446733,-0.0732,0.3396,0.9255,0.989
0.449256,-0.0758,0.3420,0.9238,0.988
0.452094,-0.0746,0.3328,0.9382,0.998
0.454131,-0.0758,0.3408,0.9380,1.001
0.458651,-0.0788,0.3331,0.9360,0.997
0.459582,-0.0734,0.3418,0.9521,1.014
0.461624,-0.0656,0.3423,0.9421,1.005
0.464325,-0.0719,0.3380,0.9492,1.010
0.466977,-0.0790,0.3441,0.9565,1.020
0.469270,-0.0749,0.3426,0.9700,1.031
0.471688,-0.0781,0.3343,0.9776,1.036
